date_num	date	a	b	close	d	e	f	g	h	i
2009,381714	19-May-2009	478786	344563.81	3.27	83.55	3.53	7.80	83.65	8.04	11.97
2009,408936	29-May-2009	458633	331082.69	1.81	82.30	3.44	6.35	82.39	7.96	12.07
2009,436035	8-Jun-2009	471379	340957.91	3.54	82.23	3.52	8.05	82.60	8.04	12.19
2009,463257	18-Jun-2009	477223	346785.91	4.92	80.50	3.77	9.45	80.86	8.30	12.32
2009,490479	28-Jun-2009	468816	341273.31	3.27	78.71	4.25	7.82	79.24	8.79	12.47
2009,517578	7-Jul-2009	472709	345366.81	2.22	79.88	5.07	6.75	80.46	9.61	12.73
2009,5448	17-Jul-2009	466781	342844.31	5.42	80.54	6.25	9.97	81.21	10.79	13.14
2009,571899	27-Jul-2009	466050	342691.59	10.18	82.11	7.67	14.72	82.85	12.21	13.61
2009,599121	6-Aug-2009	465927	344146.81	8.63	83.32	9.19	13.18	84.41	13.73	14.04
2009,626221	16-Aug-2009	458260	338256.41	9.53	85.54	10.78	14.08	86.87	15.32	14.47
2009,653442	26-Aug-2009	461517	340791.00	11.83	85.83	12.45	16.39	87.19	17.00	14.98
2009,680542	5-Sep-2009	458154	339883.00	14.59	86.69	14.14	19.10	87.99	18.69	15.58
2009,707764	15-Sep-2009	459223	340840.19	17.65	87.76	15.65	22.22	89.30	20.21	16.15
2009,734863	25-Sep-2009	460158	340339.59	17.70	88.45	16.84	22.27	89.97	21.40	16.59
2009,762085	5-Oct-2009	461292	341662.69	17.44	87.66	17.66	22.01	89.29	22.22	16.90
2009,789307	15-Oct-2009	460242	339835.69	18.47	87.01	18.12	23.01	88.52	22.69	17.14
2009,816406	24-Oct-2009	462022	340873.41	19.67	88.37	18.20	24.25	89.99	22.79	17.29
2009,843628	3-Nov-2009	465209	342470.50	20.06	91.17	17.88	24.65	92.58	22.47	17.27
2009,870728	13-Nov-2009	469884	344705.59	15.64	88.86	17.18	20.26	89.97	21.79	17.12
2009,897949	23-Nov-2009	472514	344471.09	17.67	90.26	16.21	22.30	91.50	20.83	16.86
2009,925049	3-Dec-2009	472804	342932.59	15.63	89.48	15.10	20.23	90.52	19.73	16.58
2009,952271	13-Dec-2009	480214	345475.91	11.45	87.64	13.93	16.12	88.55	18.58	16.29
2009,97937	23-Dec-2009	482129	346366.41	15.09	89.16	12.73	19.74	90.13	17.39	15.95
2010,006592	2-Jan-2010	483391	347723.91	11.23	88.55	11.51	15.91	89.14	16.19	15.54
2010,033691	12-Jan-2010	478403	344297.81	10.38	87.33	10.40	15.07	87.58	15.08	15.12
2010,060913	22-Jan-2010	480770	346412.50	8.20	86.00	9.64	12.89	86.14	14.33	14.94
2010,088135	1-Feb-2010	479711	345718.31	5.19	86.04	9.42	9.87	85.99	14.13	15.19
2010,115234	11-Feb-2010	479643	345193.59	9.25	87.92	9.68	13.97	87.93	14.40	15.80
2010,142456	20-Feb-2010	481123	346728.19	12.89	88.65	10.00	17.63	88.78	14.74	16.39
2010,169556	2-Mar-2010	478419	344340.59	14.60	90.50	9.96	19.36	90.69	14.71	16.57
2010,196777	12-Mar-2010	476611	343645.59	7.21	87.55	9.50	11.96	87.35	14.27	16.31
2010,223877	22-Mar-2010	477782	344662.19	7.54	86.71	8.90	12.32	86.59	13.67	15.91
2010,251099	1-Apr-2010	478256	345082.59	7.19	87.79	8.45	11.98	87.67	13.24	15.71
2010,278198	11-Apr-2010	479481	345708.59	8.92	86.17	8.27	13.73	85.99	13.07	15.81
2010,30542	21-Apr-2010	477940	344339.41	8.77	85.05	8.30	13.55	84.76	13.10	16.16
2010,33252	1-May-2010	478844	345141.41	7.32	85.12	8.47	12.14	84.89	13.28	16.67
2010,359741	11-May-2010	477225	344023.31	7.53	85.40	8.78	12.37	85.41	13.60	17.31
2010,386963	21-May-2010	478057	345815.50	10.66	85.22	9.18	15.48	85.34	13.99	17.96
2010,414063	31-May-2010	476474	345817.19	9.61	83.76	9.54	14.42	83.98	14.35	18.48
